,imgnames,latitude,longtitude,content,language,district
1,1.JPG,45.2384,19.84793611,#N/A,#N/A,#N/A
IMG_7503,IMG_7503.JPG,45.2397,19.83499444,Commerce,SE,Liman
IMG_7511,IMG_7511.JPG,45.24045278,19.83791944,Commerce,SE,Liman
IMG_7514,IMG_7514.JPG,45.24171389,19.83566389,Commerce,SE,Liman
IMG_7515,IMG_7515.JPG,45.23965833,19.83446111,Politics,SE,Liman 3
IMG_7516,IMG_7516.JPG,45.23971944,19.83440278,Politics,SE,Liman 3
IMG_7526,IMG_7526.JPG,45.24000556,19.847125,Politics,SE,Boško Buha
IMG_7533,IMG_7533.JPG,45.24453611,19.84501389,Neighborhood Identity,SE,Boško Buha
IMG_7534,IMG_7534.JPG,45.24451111,19.84503333,Neighborhood Identity,SE,Boško Buha
IMG_7535,IMG_7535.JPG,45.24451389,19.84503611,Neighborhood Identity,SE,Boško Buha
IMG_7542,IMG_7542.JPG,45.24091389,19.84518333,Politics,SE,Boško Buha
IMG_7544,IMG_7544.JPG,45.24003333,19.84643889,#N/A,SE,Boško Buha
IMG_7560,IMG_7560.JPG,45.23948333,19.8443,Sport,SE,Boško Buha
IMG_7603,IMG_7603.JPG,45.23995833,19.83684444,Sport,SE,Liman 3
IMG_7613,IMG_7613.JPG,45.24011667,19.83564444,Nationalist,SE,Liman 3
IMG_7637,IMG_7637.JPG,45.24394722,19.83532778,Neighborhood Identity,SE,Vera Pavlović
IMG_7638,IMG_7638.JPG,45.24247222,19.83401667,Neighborhood Identity,SE,Vera Pavlović
IMG_7704,IMG_7704.JPG,45.23813611,19.83704444,Sport,SE,Liman 3
IMG_7706,IMG_7706.JPG,45.23719444,19.8373,Sport,SE,Liman 3
IMG_7707,IMG_7707.JPG,45.23722778,19.83742778,Nationalist,SE,Liman 3
IMG_7708,IMG_7708.JPG,45.23720278,19.83736111,Nationalist,SE,Liman 3
IMG_7709,IMG_7709.JPG,45.23749167,19.83813889,Nationalist,SE,Liman 3
IMG_7711,IMG_7711.JPG,45.23771389,19.83956944,Politics,SE,Limanski Park
IMG_7711,IMG_7711.JPG,45.23771389,19.83956944,Nationalist,SE,Limanski Park
IMG_7712,IMG_7712.JPG,45.23699444,19.84092778,Politics,SE,Liman 3
IMG_7712,IMG_7712.JPG,45.23699444,19.84092778,Nationalist,SE,Liman 3
IMG_7713,IMG_7713.JPG,45.23721389,19.84067222,Nationalist,SE,Liman 3
IMG_7713,IMG_7713.JPG,45.23721389,19.84067222,Politics,SE,Liman 3
IMG_7715,IMG_7715.JPG,45.23925,19.84556111,Nationalist,SE,Liman 3
IMG_7715,IMG_7715.JPG,45.23925,19.84556111,Politics,SE,Liman 3
IMG_7716,IMG_7716.JPG,45.23932222,19.84560278,Politics,SE,Boško Buha
IMG_7720,IMG_7720.JPG,45.23838889,19.84791944,Politics,SE,Boško Buha
IMG_7724,IMG_7724.JPG,45.23877222,19.84788611,Politics,SE,Boško Buha
IMG_7725,IMG_7725.JPG,45.23863611,19.84785,Nationalist,SE,Boško Buha
IMG_7725,IMG_7725.JPG,45.23863611,19.84785,Politics,SE,Boško Buha
IMG_7727,IMG_7727.JPG,45.24253333,19.84729167,Nationalist,SE,Boško Buha
IMG_7727,IMG_7727.JPG,45.24253333,19.84729167,Politics,SE,Boško Buha
IMG_7727,IMG_7727.JPG,45.24253333,19.84729167,Neighborhood Identity,SE,Boško Buha
IMG_7729,IMG_7729.JPG,45.24299167,19.84750278,Nationalist,SE,Boško Buha
IMG_7729,IMG_7729.JPG,45.24299167,19.84750278,Politics,SE,Boško Buha
IMG_7729,IMG_7729.JPG,45.24299167,19.84750278,Neighborhood Identity,SE,Boško Buha
IMG_7730,IMG_7730.JPG,45.24320278,19.84485833,Nationalist,SE,Boško Buha
IMG_7730,IMG_7730.JPG,45.24320278,19.84485833,Politics,SE,Boško Buha
IMG_7730,IMG_7730.JPG,45.24320278,19.84485833,Neighborhood Identity,SE,Boško Buha
IMG_7731,IMG_7731.JPG,45.24322222,19.844875,Nationalist,SE,Boško Buha
IMG_7731,IMG_7731.JPG,45.24322222,19.844875,Politics,SE,Boško Buha
IMG_7731,IMG_7731.JPG,45.24322222,19.844875,Neighborhood Identity,SE,Boško Buha
IMG_7731,IMG_7731.JPG,45.24322222,19.844875,Sport,SE,Boško Buha
IMG_7732,IMG_7732.JPG,45.24322222,19.84482222,Nationalist,SE,Boško Buha
IMG_7732,IMG_7732.JPG,45.24322222,19.84482222,Politics,SE,Boško Buha
IMG_7732,IMG_7732.JPG,45.24322222,19.84482222,Neighborhood Identity,SE,Boško Buha
IMG_7732,IMG_7732.JPG,45.24322222,19.84482222,Sport,SE,Boško Buha
IMG_7733,IMG_7733.JPG,45.24322778,19.84481667,Nationalist,SE,Boško Buha
IMG_7733,IMG_7733.JPG,45.24322778,19.84481667,Politics,SE,Boško Buha
IMG_7733,IMG_7733.JPG,45.24322778,19.84481667,Neighborhood Identity,SE,Boško Buha
IMG_7733,IMG_7733.JPG,45.24322778,19.84481667,Sport,SE,Boško Buha
IMG_7734,IMG_7734.JPG,45.24339722,19.84341111,Sport,SE,Boško Buha
IMG_7734,IMG_7734.JPG,45.24339722,19.84341111,Nationalist,SE,Boško Buha
IMG_7734,IMG_7734.JPG,45.24339722,19.84341111,Neighborhood Identity,SE,Boško Buha
IMG_7756,IMG_7756.JPG,45.25732778,19.84862778,Culture&History,LAT,Stari Grad
IMG_7947,IMG_7947.JPG,45.25421944,19.855075,Politics,SE,Stari Grad
IMG_7947,IMG_7947.JPG,45.25421944,19.855075,Nationalist,SE,Stari Grad
IMG_8011,IMG_8011.JPG,45.23904444,19.83398333,Politics,SE,Liman 3
IMG_8011,IMG_8011.JPG,45.23904444,19.83398333,Nationalist,SE,Liman 3
IMG_8011,IMG_8011.JPG,45.23904444,19.83398333,Neighborhood Identity,SE,Liman 3
IMG_8012,IMG_8012.JPG,45.23897222,19.83404722,Politics,SE,Liman 3
IMG_8012,IMG_8012.JPG,45.23897222,19.83404722,Nationalist,SE,Liman 3
IMG_8012,IMG_8012.JPG,45.23897222,19.83404722,Neighborhood Identity,SE,Liman 3
IMG_8013,IMG_8013.JPG,45.23896389,19.83404722,Politics,SE,Liman 3
IMG_8013,IMG_8013.JPG,45.23896389,19.83404722,Nationalist,SE,Liman 3
IMG_8013,IMG_8013.JPG,45.23896389,19.83404722,Neighborhood Identity,SE,Liman 3
IMG_8015,IMG_8015.JPG,45.23985,19.83575833,Politics,SE,Liman 3
IMG_8015,IMG_8015.JPG,45.23985,19.83575833,Neighborhood Identity,SE,Liman 3
IMG_8016,IMG_8016.JPG,45.24157778,19.83558056,Politics,"EN, RU, SE",Liman 3
IMG_8016,IMG_8016.JPG,45.24157778,19.83558056,Sport,"EN, RU, SE",Liman 3
IMG_8016,IMG_8016.JPG,45.24157778,19.83558056,Neighborhood Identity,"EN, RU, SE",Liman 3
IMG_8017,IMG_8017.JPG,45.24171944,19.83527778,Politics,SE,Liman 3
IMG_8026,IMG_8026.JPG,45.24331667,19.83546944,Politics,SE,Liman 3
IMG_8027,IMG_8027.JPG,45.24330556,19.83568056,Politics,SE,Liman 3
IMG_8028,IMG_8028.JPG,45.24342222,19.83496944,Sport,SE,Vera Pavlović
IMG_8029,IMG_8029.JPG,45.2424,19.83438333,Politics,SE,Vera Pavlović
IMG_8029,IMG_8029.JPG,45.2424,19.83438333,Nationalist,SE,Vera Pavlović
IMG_8029,IMG_8029.JPG,45.2424,19.83438333,Sport,SE,Vera Pavlović
IMG_8031,IMG_8031.JPG,45.24229167,19.83491389,Neighborhood Identity,SE,Liman 3
IMG_8037,IMG_8037.JPG,45.25376389,19.84295556,Neighborhood Identity,SE,Stari Grad
IMG_8079,IMG_8079.JPG,45.24034444,19.83338611,Politics,SE,Liman 3
IMG_8079,IMG_8079.JPG,45.24034444,19.83338611,Nationalist,SE,Liman 3
IMG_8086,IMG_8086.JPG,45.23703056,19.82816944,Nationalist,SE,Ostrvo
IMG_8086,IMG_8086.JPG,45.23703056,19.82816944,Politics,SE,Ostrvo
IMG_8087,IMG_8087.JPG,45.23679722,19.82747778,Nationalist,SE,Ostrvo
IMG_8087,IMG_8087.JPG,45.23679722,19.82747778,Politics,SE,Ostrvo
IMG_8088,IMG_8088.JPG,45.23658056,19.8281,Politics,SE,Ostrvo
IMG_8088,IMG_8088.JPG,45.23658056,19.8281,Neighborhood Identity,SE,Ostrvo
IMG_8088,IMG_8088.JPG,45.23658056,19.8281,Sport,SE,Ostrvo
IMG_8089,IMG_8089.JPG,45.23654167,19.82816111,Politics,SE,Ostrvo
IMG_8089,IMG_8089.JPG,45.23654167,19.82816111,Nationalist,SE,Ostrvo
IMG_8089,IMG_8089.JPG,45.23654167,19.82816111,Sport,SE,Ostrvo
IMG_8090,IMG_8090.JPG,45.23652778,19.82817222,#N/A,SE,Ostrvo
IMG_8091,IMG_8091.JPG,45.23652778,19.82850833,Politics,SE,Ostrvo
IMG_8091,IMG_8091.JPG,45.23652778,19.82850833,Nationalist,SE,Ostrvo
IMG_8091,IMG_8091.JPG,45.23652778,19.82850833,Sport,SE,Ostrvo
IMG_8091,IMG_8091.JPG,45.23652778,19.82850833,Neighborhood Identity,SE,Ostrvo
IMG_8092,IMG_8092.JPG,45.23644167,19.82919167,Politics,SE,Ostrvo
IMG_8092,IMG_8092.JPG,45.23644167,19.82919167,Sport,SE,Ostrvo
IMG_8092,IMG_8092.JPG,45.23644167,19.82919167,Neighborhood Identity,SE,Ostrvo
IMG_8093,IMG_8093.JPG,45.236175,19.82949444,Politics,SE,Ostrvo
IMG_8093,IMG_8093.JPG,45.236175,19.82949444,Nationalist,SE,Ostrvo
IMG_8095,IMG_8095.JPG,45.237075,19.829375,Neighborhood Identity,SE,Ostrvo
IMG_8096,IMG_8096.JPG,45.23731944,19.829475,Address to Person,SE,Ostrvo
IMG_8098,IMG_8098.JPG,45.23761389,19.83226111,Address to Person,SE,Ostrvo
IMG_8099,IMG_8099.JPG,45.23770556,19.83236944,Neighborhood Identity,SE,Ostrvo
IMG_8100,IMG_8100.JPG,45.23798333,19.83248611,Sport,SE,Ostrvo
IMG_8100,IMG_8100.JPG,45.23798333,19.83248611,Neighborhood Identity,SE,Ostrvo
IMG_8102,IMG_8102.JPG,45.23747222,19.83170833,Nationalist,SE,Ostrvo
IMG_8102,IMG_8102.JPG,45.23747222,19.83170833,Politics,SE,Ostrvo
IMG_8102,IMG_8102.JPG,45.23747222,19.83170833,Address to Person,SE,Ostrvo
IMG_8106,IMG_8106.JPG,45.238475,19.83408056,Politics,SE,Ostrvo
IMG_8106,IMG_8106.JPG,45.238475,19.83408056,Nationalist,SE,Ostrvo
IMG_8108,IMG_8108.JPG,45.238125,19.83429444,Politics,SE,Ostrvo
IMG_8108,IMG_8108.JPG,45.238125,19.83429444,Nationalist,SE,Ostrvo
IMG_8110,IMG_8110.JPG,45.23821667,19.83483333,Sport,SE,Ostrvo
IMG_8110,IMG_8110.JPG,45.23821667,19.83483333,Address to Person,SE,Ostrvo
IMG_8111,IMG_8111.JPG,45.23837778,19.83448611,Sport,SE,Ostrvo
IMG_8111,IMG_8111.JPG,45.23837778,19.83448611,Neighborhood Identity,SE,Ostrvo
IMG_8114,IMG_8114.JPG,45.239175,19.83605278,Politics,SE,Ostrvo
IMG_8115,IMG_8115.JPG,45.23920556,19.83609722,Politics,SE,Ostrvo
IMG_8119,IMG_8119.JPG,45.23975833,19.834575,Sport,SE,Ostrvo
IMG_8119,IMG_8119.JPG,45.23975833,19.834575,Neighborhood Identity,SE,Ostrvo
IMG_8120,IMG_8120.JPG,45.23975833,19.834575,Sport,SE,Ostrvo
IMG_8120,IMG_8120.JPG,45.23975833,19.834575,Neighborhood Identity,SE,Ostrvo
IMG_8159,IMG_8159.JPG,45.24376944,19.83249167,Politics,SE,7. jula
IMG_8159,IMG_8159.JPG,45.24376944,19.83249167,Address to Person,SE,7. jula
IMG_8160,IMG_8160.JPG,45.24614444,19.832775,Politics,SE,7. jula
IMG_8160,IMG_8160.JPG,45.24614444,19.832775,Address to Person,SE,7. jula
IMG_8161,IMG_8161.JPG,45.24636944,19.83293889,Address to Person,SE,7. jula
IMG_8162,IMG_8162.JPG,45.24647778,19.83288889,Politics,SE,7. jula
IMG_8162,IMG_8162.JPG,45.24647778,19.83288889,Nationalist,SE,7. jula
IMG_8162,IMG_8162.JPG,45.24647778,19.83288889,Culture&History,SE,7. jula
IMG_8164,IMG_8164.JPG,45.24780278,19.834525,Politics,SE,7. jula
IMG_8164,IMG_8164.JPG,45.24780278,19.834525,Nationalist,SE,7. jula
IMG_8164,IMG_8164.JPG,45.24780278,19.834525,Neighborhood Identity,SE,7. jula
IMG_8165,IMG_8165.JPG,45.24739722,19.83399722,Politics,SE,7. jula
IMG_8165,IMG_8165.JPG,45.24739722,19.83399722,Nationalist,SE,7. jula
IMG_8165,IMG_8165.JPG,45.24739722,19.83399722,Culture&History,SE,7. jula
IMG_8190,IMG_8190.JPG,45.24000278,19.83580833,Commerce,SE,Boško Buha
IMG_8190,IMG_8190.JPG,45.24000278,19.83580833,Address to Person,SE,Boško Buha
IMG_8191,IMG_8191.JPG,45.2396,19.83370278,Address to Person,SE,Liman 3
IMG_8198,IMG_8198.JPG,45.25006944,19.83938056,Commerce,SE,Prva Vojvođanska brigada
IMG_8198,IMG_8198.JPG,45.25006944,19.83938056,Culture&History,SE,Prva Vojvođanska brigada
IMG_8203,IMG_8203.JPG,45.24961944,19.84108333,Commerce,SE,Prva Vojvođanska brigada
IMG_8236,IMG_8236.JPG,45.24024167,19.84576667,Address to Person,SE,Boško Buha
IMG_8236,IMG_8236.JPG,45.24024167,19.84576667,Politics,SE,Boško Buha
IMG_8237,IMG_8237.JPG,45.24100556,19.84480833,Politics,"SE, EN",Boško Buha
IMG_8237,IMG_8237.JPG,45.24100556,19.84480833,Sport,"SE, EN",Boško Buha
IMG_8237,IMG_8237.JPG,45.24100556,19.84480833,Neighborhood Identity,"SE, EN",Boško Buha
IMG_8238,IMG_8238.JPG,45.24081111,19.84399167,Nationalist,SE,Boško Buha
IMG_8238,IMG_8238.JPG,45.24081111,19.84399167,Politics,SE,Boško Buha
IMG_8239,IMG_8239.JPG,45.24085278,19.84418056,Nationalist,SE,Boško Buha
IMG_8239,IMG_8239.JPG,45.24085278,19.84418056,Politics,SE,Boško Buha
IMG_8239,IMG_8239.JPG,45.24085278,19.84418056,Neighborhood Identity,SE,Boško Buha
IMG_8240,IMG_8240.JPG,45.244525,19.84539722,Sport,SE,Boško Buha
IMG_8240,IMG_8240.JPG,45.244525,19.84539722,Nationalist,SE,Boško Buha
IMG_8240,IMG_8240.JPG,45.244525,19.84539722,Neighborhood Identity,SE,Boško Buha
IMG_8240,IMG_8240.JPG,45.244525,19.84539722,Culture&History,SE,Boško Buha
IMG_8275,IMG_8275.JPG,45.24019167,19.83755278,Neighborhood Identity,SE,Liman 3
IMG_8275,IMG_8275.JPG,45.24019167,19.83755278,Address to Person,SE,Liman 3
IMG_8276,IMG_8276.JPG,45.24026389,19.83775,Commerce,"SE, EN",Liman 3
IMG_8277,IMG_8277.JPG,45.24008611,19.83755,Nationalist,SE,Liman 3
IMG_8277,IMG_8277.JPG,45.24008611,19.83755,Politics,SE,Liman 3
IMG_8277,IMG_8277.JPG,45.24008611,19.83755,Neighborhood Identity,SE,Liman 3
Piši čirilicom,Piši čirilicom.JPG,45.23726944,19.83727778,Nationalist,SE,Liman 3
Piši čirilicom,Piši čirilicom.JPG,45.23726944,19.83727778,Politics,SE,Liman 3
Piši čirilicom,Piši čirilicom.JPG,45.23726944,19.83727778,Neighborhood Identity,SE,Liman 3
